Trade Date,NYSE Group Shares,NYSE Group Trades,NYSE Group Dollar Volume
1/2/18,"1,001,940,408","3,877,020","$43,474,628,087 "
1/3/18,"1,018,742,599","4,194,658","$42,523,704,272 "
1/4/18,"1,117,934,349","4,146,918","$45,949,676,073 "
1/5/18,"966,150,581","3,714,004","$42,390,007,644 "
1/8/18,"996,106,471","3,605,763","$43,385,231,021 "
1/9/18,"1,036,408,368","3,874,382","$43,388,666,020 "
1/10/18,"1,021,119,003","4,003,468","$42,577,566,879 "
1/11/18,"1,048,597,572","4,005,012","$42,636,830,805 "
1/12/18,"1,093,712,868","3,993,706","$47,270,310,298 "
1/16/18,"1,368,667,718","4,913,887","$59,731,036,803 "
1/17/18,"1,170,447,032","4,349,091","$51,502,658,643 "
1/18/18,"1,085,706,205","4,048,496","$46,450,064,460 "
1/19/18,"1,263,570,945","4,023,039","$59,403,591,732 "
1/22/18,"1,062,243,570","3,898,804","$48,280,396,917 "
1/23/18,"1,013,417,491","4,021,220","$46,641,420,150 "
1/24/18,"1,215,605,802","4,617,467","$52,274,248,543 "
1/25/18,"1,140,379,478","4,487,646","$48,939,120,939 "
1/26/18,"1,006,995,596","3,939,965","$47,092,706,227 "
1/29/18,"1,040,310,502","4,260,603","$47,142,668,824 "
1/30/18,"1,160,168,963","4,909,617","$52,635,072,834 "
1/31/18,"1,372,486,433","4,881,158","$64,329,516,546 "
2/1/18,"1,172,354,677","4,919,242","$53,189,123,624 "
2/2/18,"1,295,588,926","5,412,987","$56,810,999,443 "
2/5/18,"1,684,693,315","7,454,087","$75,212,885,115 "
2/6/18,"1,872,961,244","8,585,866","$83,318,517,409 "
2/7/18,"1,452,971,361","6,110,403","$61,340,304,680 "
2/8/18,"1,616,350,916","7,028,169","$68,338,409,632 "
2/9/18,"1,724,956,198","7,870,191","$71,825,911,970 "
2/12/18,"1,298,559,963","5,404,657","$57,712,810,462 "
2/13/18,"1,046,948,195","4,339,745","$44,079,112,044 "
2/14/18,"1,193,854,081","5,052,891","$50,591,644,325 "
2/15/18,"1,056,315,748","4,683,668","$45,013,106,091 "
2/16/18,"1,172,408,416","4,611,724","$52,584,702,113 "
2/20/18,"1,105,188,322","4,629,332","$47,526,992,262 "
2/21/18,"1,122,861,563","4,814,153","$48,048,107,131 "
2/22/18,"1,056,983,113","4,592,590","$43,798,545,364 "
